,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21
Volume,-0.516930599542956,0.5722837680356577,-0.35210211273838005,-0.1940774387813504,0.2997127371025043,0.05672039970372472,0.013683667744203506,-0.05765947846053525,0.1798093058183478,0.27223649645350795,-0.1394819721281553,0.047194743381141144,-0.04693118873956344,-0.05277855779666341,0.1895760032057358,-0.029181426445553216,-0.02684585902429235,0.024140354648404822,-0.006400215199144364,-0.008378695686226519,-0.012063952998811007
Cinema,0.46996983974178685,0.37631074625295313,0.6141919999824771,0.2903058466932704,0.13192430022697224,0.056742488769519255,0.12539713114408269,-0.2841535518262469,0.1779847508945006,-0.04471754836757004,0.04037660983351053,-0.06949969639046469,-0.11144757398102928,0.1087247549719237,0.02001394016742668,-0.038624850240487146,0.10886975005543736,0.05924250773935121,0.04085424593008566,-0.0013309448998511423,-0.0014791251501090753
PIB,0.96342227782863,-0.10841636020292639,-0.005642198713916955,-0.18776886165476878,0.0527485329945139,-0.002377080133540756,0.04681329142871118,-0.07223073152818126,0.07667778351377631,-0.0373117575436174,0.11872906081295242,-0.014309969984337933,0.019707041415653697,-0.015949208619855746,0.02434761180610611,-0.031019594980227716,-0.01340907847120943,0.018700455682702864,-0.07160570717576792,-0.09115778548186601,0.035077625170545225
Cerc,0.7846584365993762,-0.429142394220468,0.057488932279174204,0.10251898091166127,-0.03831014257290022,-0.08198548936095834,-0.16362349497000914,-0.17666937115585088,0.04861707416406457,-0.12988894481416666,-0.2193753039300688,0.06535601756724765,0.04840260679182805,-0.22301306719457045,0.06575676510863752,-0.0956545405031019,0.0708530049017954,0.024873467867186708,-0.028679713403741685,0.029588498719376407,0.005398944295378345
ProdVeg,-0.6860237073345357,0.29864038697015227,0.20949741176236528,-0.27425922465269503,0.01600478608481738,-0.3496749676136886,-0.07971000329314286,-0.19215738756279838,0.1786706439007407,-0.27388712385093805,0.03707096664393386,0.2251238434243164,-0.08389767998114196,0.004802790719256679,-0.004696482337172318,0.07799304876064468,-0.08198828853469645,-0.006066364846225779,-0.021386267269817818,0.013332362180371947,0.01040404865564892
ProdAn,-0.6766314607417019,0.0650198661680168,-0.1494219748532463,-0.396854422209769,0.21644272195230335,0.07778154104012425,-0.2963225271089697,-0.3145075370431484,-0.11013882001579096,-0.04950699735892653,0.2835671263795213,-0.11950724050024739,0.16132841963870423,-0.027431148134966755,-0.0006684314816475555,-0.07261011502800134,0.007088313981772391,0.031558216880206026,0.014326073387573428,0.017194676314196394,-0.004456248291749859
Telefonie,0.8430292055790203,0.3779438422066154,-0.13764423716511281,0.02694409137033741,-0.16402113704962643,-0.224562343655134,-0.027607751970914345,0.020362285856299588,-0.11417619376666462,0.14198811811557574,0.03581449787801704,0.021673371422648156,-0.01756705600689809,0.09033457043989582,-0.08406826896599617,-0.0417178193508659,-0.019128036877906374,0.09807275153652825,-0.09375946373188436,0.03741612037963146,-0.01641847117184754
Internet,0.4723681845125756,0.5693615792650895,-0.2633957903319251,-0.3431095981631574,-0.011191828432830734,-0.33803160181100816,0.19519646468630628,0.18174664845423466,-0.22602666716350292,-0.11975250723758142,0.06564617025303464,-0.03461246036024437,-0.098106009639791,-0.05574077941371484,0.039866825006946195,-0.07489549568991287,0.09838129342978298,-0.05038880476829129,0.02829054414004877,0.007802135003715699,0.02268148798790362
Cazare,0.40011767880649973,0.44396430833591427,0.5297806123697343,-0.025745266513207538,0.3242553611471782,0.40329882738109507,0.23964357247392135,0.1352099984889926,-0.050337807213548184,-0.069637545334401,0.007524345600943863,0.006820821104262523,0.05960481636633319,-0.10036984950406232,-0.047426831057864285,-0.0776113844048428,-0.09859761309467367,-0.03947464528069672,-0.03310902289832115,0.024344814845098154,0.002118168628554705
ExecB,0.8662622878080273,-0.18343787472874384,0.014145749128735096,-0.2616094571505834,0.00011569462837884972,-0.16892706613034342,0.036091460654016486,0.039589476639380436,0.16842196465213793,0.08858612963781469,0.04734724562200683,-0.19248767865579633,-0.11936348226681089,-0.15673323175984794,-0.060167780289746564,0.05588504893716644,-0.10695902738819352,0.06063516769403203,0.061875910283585155,0.013303388406161618,0.009954884368151663
