,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21
bz,-0.5526549847369923,-0.5145123487293575,0.18901710844068997,0.12783573066324183,0.09655845041359434,0.19427284736697073,-0.18688430282857,0.2084110953731844,-0.5299063144416812,-0.2356451329133559,-0.12267524756980326,-0.5123618887926208,-0.42840522010483945,1.2811223651606274,-1.921242402500203,0.8380129200459113,0.3946387280683863,-0.40391820609685153,-0.9740257924055834,-0.2643023408493273,-1.4502999715638172
ct,0.9534130860542455,1.8084550999830364,4.331813246968449,1.1160325477734627,1.3232980873966902,1.2947053796801378,1.440996354984192,-0.3024677955104125,1.3543066884957835,-0.46417344103949704,0.6254168163459873,-0.6731010748338654,-0.4585773293395707,0.5128003975243715,-0.511439187068492,-0.29719192057348476,-0.13955182119147339,0.012826304903535295,-0.444032377525249,0.1080729056853619,-0.7495513485519215
gl,-0.1712475866292381,-0.45324527547521953,-0.7552346549110379,1.8644558460965202,-1.230883625759324,-0.1456034638054539,0.7461071720502983,0.19097551015526987,0.9546674665819083,-0.47430603913418296,0.03992159708391835,1.900419536841273,0.394008157167967,-0.5569690184477123,0.6839663735138308,0.9355947133232335,-1.1918160376787201,-0.3683053122342874,-0.7164344416598167,0.134276239965435,-2.0683973454078495
tl,-0.6345220586828476,0.42883835816000004,0.8113969292097588,-0.4799756994373138,-0.06771732715388418,-0.5092544165324163,-0.35040295479209765,-0.01792140893118971,1.8104491547332562,1.2572260411147929,-0.9253858978023987,0.7444985556983296,1.2716726769666193,-1.0355505866666785,2.0165118655842034,1.6142246270093328,0.11643567008440563,-0.18096559317554603,-0.38849888117459425,0.8255505524439893,0.606273679980532
vn,-0.7303259842597779,-0.26162729976570387,0.7542129485986449,-0.34926964162747776,-1.9766274064777787,-0.30172847296481214,-0.1971341954617404,0.7767684660797912,0.6769910190980158,0.6994869352044438,0.11184780949901033,-0.7132795394894974,1.1512821076629025,0.055984524740607514,-2.0426836485973046,0.31346882277165666,-0.27897250335832097,-0.07481998704126833,0.5693446964220577,0.6016435882542298,2.0791448919609925
ag,0.3021398390301409,-1.3591200848200888,-0.3190551581428632,0.5163660480549428,0.9716018649830679,-0.09458350292125486,0.0889221595534103,-1.2574637050149362,-0.6180104998902288,-0.14342270917429276,-0.10213587154751284,0.5732359300238328,1.2511961463107408,-1.7535280841813294,0.6050484267703757,-0.9984104936448555,0.9980782627501257,1.4028113194678251,-0.8499743229313805,-0.19413554716789358,-0.8477066401542579
cl,-1.167449442688497,0.3357700951060125,1.059885729207125,-0.5621476025762228,-0.90375210250645,-1.1577633215391965,-2.3088501413439593,-0.14106830585034316,-0.27094280983141544,-1.1580205137523845,0.025818616094401906,-0.08022706711919221,-0.07216612528022365,-1.8194728482309357,1.4018619174084141,0.5295757241424904,-0.26391691636039644,-0.3704565140433972,-1.4293553804761725,0.22393124261399827,0.16119132746756343
db,-0.581702361899526,-0.9247499368004014,0.12613879764024402,0.3935996543859845,0.01788140744989316,0.03194104803272597,0.4456083917221719,-0.050262883558707235,-0.5934784382417624,-0.7512641625509844,0.2285725351151436,2.198635451013108,-1.0527209997761298,0.7986895277663745,-0.12821469354347484,-0.3029865467542631,-0.7250885960279925,-0.1901360450879865,-0.343015547685577,-2.740352554671198,1.2699501579104249
gr,-1.028346326600351,-1.2069055631470973,1.198851344311845,-0.5890353416253304,0.3963612746832197,-1.3021783551654067,-0.0668813665180414,0.6050379626412149,-1.2200717333205502,0.8790070622456834,0.00798089093329925,0.06003727390562725,-0.4791461545694412,0.5906045332041177,-0.22990559300913282,0.4436282555060611,-0.9489207950947675,1.7168412074653838,2.2185770938410836,1.050183342843204,-0.22915926100733688
il,-0.925048047655539,0.7295439153484761,1.4982544969268252,-0.13349816789198551,-0.536222414407144,-0.6920659485580283,-0.31928702240498297,-0.8991899009078104,0.5429318282797955,-0.9151389013851559,1.451108872288863,1.4078361747828518,-2.427298520432509,-0.43978166134776625,0.38592437401305685,0.4544722138753125,1.0125518182972448,1.2377914437259685,1.5334370105030695,-0.04415126351203307,0.4530952071206452
