County,Romanian,Hungarians,Romany,Ukrainians,Germans,Turks,Russians_Lippovans,Tatars,Serbs,Slovaks,Bulgarians,Croats,Greeks,Italians,Jews,Czechs,Poles,Chinese,Armenians,Csango,Macedonians,Another
gj,1.309877679591176,0.0645391799450929,3.7518623147354018,0.02332694543942484,0.004343837402790318,0.002666709067205765,0.0007342829308612869,-0.0,0.011254626917109852,0.0005667591166148348,-0.0,-0.0,0.0007342829308612869,0.030500473942110327,-0.0,0.005503875156918129,-0.0,0.0005667591166148348,-0.0,-0.0,-0.0,0.019736356461132358
gl,2.8954176743578133,0.008227519856076042,5.821873417142811,0.0034857480300780445,0.0040534483983443925,0.011031073053309052,0.007905590175700321,0.00021229938756139373,0.009076687211007354,-0.0,0.00033775715513332497,-0.0,0.007001367907063895,0.00260614268236498,0.005070998697739694,-0.0,0.00021229938756139373,0.0016885938049658754,0.001638147202218629,-0.0,0.0003984236197078022,0.11912257690601086
gr,3.988579792138525,0.023258529257225817,9.680097869045353,-0.0,0.006790034190967843,0.022215639520785858,0.0014513909949637302,-0.0,-0.0,-0.0,0.001010653437255012,-0.0,0.0007809034474266571,0.0007809034474266571,-0.0,-0.0,-0.0,0.0018740856746572454,0.0007809034474266571,-0.0,-0.0,0.0542240547139724
hd,2.9576020581754663,4.768733713980054,4.4728002779521026,0.16411303218670237,0.5157711703177617,0.006655750414659746,0.01552140172252762,-0.0,0.006875601157576095,0.030178005050208664,0.0028359266990852514,-0.0,0.007913198886843279,0.07935738587150859,0.01233207397475279,0.005193707461279917,0.023318078887295573,0.022664457676199453,-0.0,0.0029858675960599858,0.0010014710961131776,0.30035927294345255
hr,8.035004694139928,7.156214932623622,5.964170685784343,0.0046812488137096325,0.02918818115106902,0.0072794693870932405,-0.0,-0.0,0.0010878894808961747,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.002145023148890078,0.01385144394386946,-0.0,0.01717826623612901
if,2.8412610804349505,0.20471699362330711,6.441977591561924,0.027826518047042868,0.0839898496240924,0.3692146478566692,0.04703422008428005,0.00857684363561603,0.002868761643701355,-0.0,0.027117894455040578,-0.0,0.05903925257957542,0.07861714025049721,0.06435885009379994,-0.0,0.003929796984278846,0.3112980874081135,0.03088934542385905,0.015732953063843043,0.022177060780401617,0.529570453555839
il,2.8414577102551597,0.008909437743439894,6.525734767195213,0.03260354671893019,0.0009693229480607629,0.02991913251312294,0.3043348108431813,-0.0,0.001529244530676253,-0.0,-0.0,-0.0,0.0024313046488878085,0.003794870902132394,-0.0,-0.0,0.0009693229480607629,-0.0,0.003829147314520392,-0.0,0.010216027609943602,0.036557175165184454
is,2.9883019488175337,0.029770280314692175,5.927144133879009,0.0024005560063118337,0.010509179102872367,0.0069163696546910205,1.4724112538409442,0.00040607434772071445,0.0002443747269471234,-0.0,0.000299321645908625,-0.0,0.025548193678083104,0.028506966453551073,0.008415735373865616,-0.0,0.0009030782529081397,0.0005096346144944976,0.0006604938861560559,0.0001880357785028278,0.00631540193687625,0.13398591825481795
mh,4.946625283538847,0.11860228544808507,8.554243066311699,0.011790510963305818,0.07096518355336436,0.013492263237406845,0.0009688658269576529,-0.0,0.23977640686379348,-0.0,0.0006732941926603821,-0.0,0.0028229929956992183,0.0012529630971304239,0.004620570660273577,0.728744416470963,-0.0,0.005581204201637617,-0.0,0.000519542396550204,-0.0,0.01853591410264066
mm,7.663025788575228,7.93459068853652,6.5383456420213,1.9092556768164757,0.35732330227648323,0.0021157055717826124,0.00371535892976864,-0.0,0.0004050427812285616,0.0008690702618079105,0.0004050427812285616,-0.0,0.0005253060531702215,0.013852198053692078,0.0070644465982413925,-0.0,0.003152282940790254,-0.0,0.004678249750402136,0.0007567735539272018,-0.0,0.18476281474854367
