,Cercetare,Execb_venit,ConexTelFixa,Execb_subv,Export,Import,Innoptari,Lemn,PIB,PA_Veg,PA_Anim,Serv_Agric,Sup_Loc,SalNet,RataSom
cl,-0.26533871445347235,0.31785519330923273,-1.1021128884777582,2.115145616827578,-0.5870479733985582,-0.5951935439443963,-0.7974979701709012,-0.6232064198156106,-0.5220382198366217,2.4181000861829154,2.311468858255698,2.0207454344481524,-1.1646252393788268,-0.4574689419010561,0.4721379763176822
cs,-0.34677818161851265,-0.3257328298734594,0.23000679797001922,0.20940964538051535,-0.5397517618354246,-0.5479891438494455,0.8952529908083209,1.7551828700060104,-0.30548767627731166,-0.5742683529010706,0.5207135309954137,-0.4588418617751978,0.4833035285149379,-0.31147337571033223,-0.9356568009378821
cj,0.42883704845476134,1.0893885982388098,1.279589393730294,-0.583768474686909,-0.14827483966143096,0.25053706980373175,0.5176371820510628,-0.7470808619938202,1.333201201883273,-0.9163377855635054,-1.0587906510527985,-0.4218281636308535,1.4980379915037096,2.163660758081242,-1.1769930484674072
ct,-0.2630948393451973,0.42539182725816005,1.0185860103488036,-1.052961492055929,0.044627751202367755,0.24345444155162504,4.3813172926212145,-1.0443795232215227,1.2843001952806994,-0.3246043339904033,-1.3678629061480254,-0.2435895814952908,0.30065132517695925,0.08577037415745124,-0.6943205534083567
cv,-0.31620868308460126,0.06816979232159627,-0.34991821602982165,-0.38118762009676094,-0.44070438674427337,-0.41364631142834174,1.066137986111564,1.7551828700060104,-0.3834053605925038,0.4419631575094744,-0.08842284311688765,-0.4178624102582452,-0.287894663356528,-0.881874657571765,-0.050757226662955894
db,-0.2574455537784814,-1.1296949996036216,-1.0263736420910954,-0.6507405621945256,-0.47469123113829587,-0.4437724629803762,-0.5047267955283047,-0.4497822007661176,-0.2537409932225586,0.660401867383981,-0.6545376018214617,-0.45652850564117625,-0.015945827275537963,-0.2231969868508248,0.3514698525529196
dj,-0.24707093121904508,-0.9256534872722304,0.3651493748560256,-1.1730895529125902,-0.2867350638084609,-0.28358212531772387,-0.6630306624885651,-0.8585678599542086,-0.195937366885909,0.2718772540375977,-0.9062218175912181,0.1345890665092746,0.3250049522886907,0.06200365407989154,1.5581510902005462
gl,-0.2761621120345636,-1.2543078718564715,0.05513824381257709,-0.8928277351818759,-0.352457495731689,-0.2209709648351209,-0.7151574311603179,-1.0319920790037018,-0.5773592898933749,0.5180229282681343,-1.1731784479762328,-0.1579954045364946,-0.8723817140380611,-0.22998747830155614,1.678819213965309
gr,-0.34667258749577035,0.031052531405265038,-1.3005571394271276,2.1916613655210355,-0.8744518273395206,-0.6319965639427305,-0.7695543483347305,-0.6232064198156106,-0.24638883898601002,0.8784252171226393,0.24190136519719843,-0.2699177774967738,0.08146868117138492,-0.3895640273937427,-0.050757226662955894
gj,-0.33415968395080137,0.016389489631506358,-0.7176619589023195,0.7832500173803271,-0.9248276631701942,-0.7744757888877379,-0.5012522552627839,0.516438448223916,0.3212997345730363,-0.5734213439965947,-0.25864555245576637,-0.46490065165001604,-0.08088883290681798,0.12990856858720495,0.7939196396903825
hr,-0.34537905949217645,0.4477770979284428,-0.6532464723920943,0.21262785671062476,-0.6169207251417357,-0.4283172536606874,0.32863432217125094,3.080639401312851,-0.403006439280043,-0.7053918467670548,0.21689602194577534,-0.45950282067063253,-0.2067159063174266,-0.9973130122341978,-0.010534518741368487
hd,-0.25514888160883514,-0.20128083738928695,0.26416371300714175,0.0596518457259526,-0.2680472537422433,-0.39946591463286707,-0.3179334313285623,0.4792761155704532,-0.3154261354144089,-0.9701309953141156,-0.5703581232980381,-0.46225681606827723,-0.3366019175799895,-0.4914213991547128,0.029688189180219277
il,-0.3511603377123203,-1.3671765209958564,-0.993144904093025,-0.7279221477149024,-0.7254051470552972,-0.5758624200617761,-0.4738978322746316,-0.7594683062116412,-0.367231279993498,3.0680653999387366,0.950903799624189,1.2346449881444597,-0.6126096915129353,-0.7935982687122575,0.8341423476119703
is,-0.01162243603428181,-0.8947875545102284,-0.26192703272766893,-0.4888867268509315,-0.5861760077114813,-0.5200522784138168,-0.4227934968979696,-0.7718557504294621,-0.2754582144107059,-0.7064913294795956,-1.3444106898066286,-0.1876283950151512,-1.3148059399011647,0.707100341899369,-0.25187076627089366
if,5.9377880260461,3.197809898055149,5.276075620783114e-16,-0.9599107954939791,1.4258689612970248,4.368154270491145,-0.4060099944183842,-0.9452799694789552,1.8089223870462416,-0.9805149987103349,-2.2433087744328306,0.5278596092929327,4.745188273067779,1.8071599569178463,-1.6998882514480453
mm,-0.3492068464415868,-0.6595123842312866,-0.2613701265042376,-0.6151182919543516,0.023066417849191938,-0.2466852355135687,-0.30637473628067025,0.35540167339224366,-0.3281394584530818,-0.8610053000153379,0.3516297813905544,-0.4695273639180591,-0.12553714927832513,-0.5763025422888546,-0.6540978454867692
mh,7.502913685353986e-17,0.613575190962759,-0.0694231148282339,1.89453168150837,-0.7963712635421745,-0.702429198890999,-0.24575657244629803,-0.21442076062751964,-0.7506433650336372,0.35539721860875695,-0.14694984217637777,-0.37379848389593057,-0.09712458431463941,-0.31147337571033223,1.7994873377300713
b,1.1970870884667562,3.2807319273964044,3.820752491247522,-1.6843412631820025,1.027000148184856,2.4383121851416014,0.44273961084118363,-1.1558665211819112,4.760207524434211,-1.9339538297602126,-3.0613924888406654,0.5699406589689433,0.048997178355743486,4.190622456124547,-1.4987747118401078
ms,-0.2865103360633143,-0.38452289391307376,0.5366764916728801,-1.2103209288178187,-0.3711056709939486,-0.160573314934942,0.6332587912857488,-0.040996541578026416,-0.06708322683915352,-0.257853516864589,0.24389454473173208,-0.42469231884440395,-0.3568966068397652,0.21478971172134673,-0.3323161821140688
